00:38:df:25:e0:c7;-68,00:38:df:25:e0:c4;-67,00:38:df:25:e0:cc;-79,00:38:df:25:e0:cb;-79,00:38:df:20:7b:ac;-48,00:38:df:20:7b:ab;-48,00:38:df:20:7b:a8;-48,00:38:df:20:7b:aa;-48,00:38:df:20:7b:a9;-48,00:38:df:20:7b:ad;-48,00:38:df:20:7a:ed;-67,00:38:df:20:7a:eb;-67,00:38:df:20:7a:ea;-67,00:38:df:20:7a:e9;-67,00:38:df:20:7a:e8;-67,00:38:df:20:7a:ec;-67,00:38:df:20:7b:a7;-58,00:38:df:20:7b:a4;-58,00:38:df:20:75:e8;-69,00:38:df:20:75:ea;-70,00:38:df:20:75:e9;-69,00:38:df:20:75:ed;-69,00:38:df:20:75:ec;-69,00:38:df:20:75:eb;-70,00:38:df:20:7b:a2;-60,00:38:df:20:7b:a6;-60,00:38:df:20:7b:a5;-60,00:38:df:20:7b:a3;-60,00:38:df:20:7a:e7;-76,00:38:df:20:7a:e4;-76,,,,,,,,,,,,,,,,,,,,,,
00:38:df:25:e0:c7;-72,00:38:df:25:e0:c4;-71,00:38:df:25:e0:cc;-79,00:38:df:25:e0:cb;-79,00:38:df:20:7b:ac;-49,00:38:df:20:7b:ab;-49,00:38:df:20:7b:a8;-49,00:38:df:20:7b:aa;-49,00:38:df:20:7b:a9;-49,00:38:df:20:7b:ad;-49,00:38:df:20:7a:ed;-67,00:38:df:20:7a:eb;-67,00:38:df:20:7a:ea;-67,00:38:df:20:7a:e9;-67,00:38:df:20:7a:e8;-67,00:38:df:20:7a:ec;-67,00:38:df:20:7b:a7;-55,00:38:df:20:7b:a4;-55,00:38:df:20:75:e8;-69,00:38:df:20:75:ea;-70,00:38:df:20:75:e9;-70,00:38:df:20:75:ed;-69,00:38:df:20:75:ec;-69,00:38:df:20:75:eb;-70,00:38:df:20:7a:e7;-73,00:38:df:20:7a:e4;-73,00:38:df:20:7a:e6;-73,00:38:df:20:7a:e5;-73,00:38:df:20:7a:e3;-73,00:38:df:20:7a:e2;-73,00:38:df:25:e0:c5;-73,00:38:df:25:e0:c6;-73,00:38:df:25:e0:c2;-73,00:38:df:25:e0:c8;-78,00:38:df:25:e0:cd;-79,00:38:df:25:e0:ca;-79,00:38:df:25:e0:c9;-79,,,,,,,,,,,,,,,
00:38:df:25:e0:c7;-72,00:38:df:25:e0:c4;-71,00:38:df:25:e0:cc;-79,00:38:df:25:e0:cb;-79,00:38:df:20:7b:ac;-49,00:38:df:20:7b:ab;-49,00:38:df:20:7b:a8;-47,00:38:df:20:7b:aa;-49,00:38:df:20:7b:a9;-49,00:38:df:20:7b:ad;-49,00:38:df:20:7a:ed;-67,00:38:df:20:7a:eb;-67,00:38:df:20:7a:ea;-67,00:38:df:20:7a:e9;-67,00:38:df:20:7a:e8;-67,00:38:df:20:7a:ec;-67,00:38:df:20:7b:a7;-55,00:38:df:20:7b:a4;-55,00:38:df:20:75:e8;-69,00:38:df:20:75:ea;-70,00:38:df:20:75:e9;-70,00:38:df:20:75:ed;-69,00:38:df:20:75:ec;-69,00:38:df:20:75:eb;-70,00:38:df:20:7a:e7;-73,00:38:df:20:7a:e4;-73,00:38:df:20:7a:e6;-73,00:38:df:20:7a:e5;-73,00:38:df:20:7a:e3;-73,00:38:df:20:7a:e2;-73,00:38:df:25:e0:c5;-73,00:38:df:25:e0:c6;-73,00:38:df:25:e0:c2;-73,00:38:df:25:e0:c8;-78,00:38:df:25:e0:cd;-79,00:38:df:25:e0:ca;-79,00:38:df:25:e0:c9;-79,,,,,,,,,,,,,,,
00:38:df:25:e0:c7;-72,00:38:df:25:e0:c4;-71,00:38:df:25:e0:cc;-79,00:38:df:25:e0:cb;-79,00:38:df:20:7b:ac;-49,00:38:df:20:7b:ab;-49,00:38:df:20:7b:a8;-47,00:38:df:20:7b:aa;-49,00:38:df:20:7b:a9;-49,00:38:df:20:7b:ad;-49,00:38:df:20:7a:ed;-67,00:38:df:20:7a:eb;-67,00:38:df:20:7a:ea;-67,00:38:df:20:7a:e9;-67,00:38:df:20:7a:e8;-67,00:38:df:20:7a:ec;-67,00:38:df:20:7b:a7;-55,00:38:df:20:7b:a4;-55,00:38:df:20:75:e8;-69,00:38:df:20:75:ea;-70,00:38:df:20:75:e9;-70,00:38:df:20:75:ed;-69,00:38:df:20:75:ec;-69,00:38:df:20:75:eb;-70,00:38:df:20:7a:e7;-73,00:38:df:20:7a:e4;-73,00:38:df:20:7a:e6;-73,00:38:df:20:7a:e5;-73,00:38:df:20:7a:e3;-73,00:38:df:20:7a:e2;-73,00:38:df:25:e0:c5;-73,00:38:df:25:e0:c6;-73,00:38:df:25:e0:c2;-73,00:38:df:25:e0:c8;-78,00:38:df:25:e0:cd;-79,00:38:df:25:e0:ca;-79,00:38:df:25:e0:c9;-79,,,,,,,,,,,,,,,
00:38:df:25:e0:c7;-73,00:38:df:25:e0:c4;-73,00:38:df:25:e0:cc;-79,00:38:df:25:e0:cb;-79,00:38:df:20:7b:ac;-46,00:38:df:20:7b:ab;-46,00:38:df:20:7b:a8;-43,00:38:df:20:7b:aa;-46,00:38:df:20:7b:a9;-46,00:38:df:20:7b:ad;-46,00:38:df:20:7a:ed;-63,00:38:df:20:7a:eb;-63,00:38:df:20:7a:ea;-63,00:38:df:20:7a:e9;-63,00:38:df:20:7a:e8;-63,00:38:df:20:7a:ec;-63,00:38:df:20:7b:a7;-54,00:38:df:20:7b:a4;-54,00:38:df:20:75:e8;-71,00:38:df:20:75:ea;-71,00:38:df:20:75:e9;-71,00:38:df:20:75:ed;-71,00:38:df:20:75:ec;-71,00:38:df:20:75:eb;-71,00:38:df:20:7a:e7;-73,00:38:df:20:7a:e4;-73,00:38:df:20:7a:e6;-73,00:38:df:20:7a:e5;-73,00:38:df:20:7a:e3;-73,00:38:df:20:7a:e2;-73,00:38:df:25:e0:c5;-73,00:38:df:25:e0:c6;-73,00:38:df:25:e0:c2;-73,00:38:df:25:e0:c8;-78,00:38:df:25:e0:cd;-79,00:38:df:25:e0:ca;-79,00:38:df:25:e0:c9;-79,00:38:df:25:e0:c3;-74,,,,,,,,,,,,,,
00:38:df:25:e0:c4;-44,00:38:df:25:e0:c7;-47,00:38:df:25:e0:cb;-48,00:38:df:25:e0:cc;-48,00:38:df:25:e0:cd;-48,00:38:df:25:e0:c8;-48,00:38:df:25:e0:c9;-48,00:38:df:25:e0:ca;-48,00:38:df:20:75:4c;-66,00:38:df:20:75:4d;-66,00:38:df:20:75:48;-66,00:38:df:20:75:4b;-67,00:38:df:20:75:4a;-67,00:38:df:20:75:49;-66,00:38:df:20:75:47;-73,00:38:df:20:7b:a8;-69,00:38:df:20:7b:ad;-69,00:38:df:20:7b:ac;-69,00:38:df:20:7b:ab;-69,00:38:df:20:7b:aa;-69,00:38:df:20:7b:a9;-69,00:38:df:20:75:44;-74,00:38:df:20:7b:a4;-75,00:38:df:20:7b:a7;-74,00:38:df:25:e0:c6;-43,00:38:df:25:e0:c2;-48,00:38:df:25:e0:c5;-48,00:38:df:25:e0:c3;-43,00:38:df:20:75:45;-68,00:38:df:20:75:46;-67,00:38:df:20:7a:e4;-78,00:38:df:20:7a:ec;-72,00:38:df:20:7a:ed;-73,00:38:df:20:7a:ea;-73,00:38:df:20:7a:eb;-73,00:38:df:20:7a:e8;-72,00:38:df:20:7a:e9;-74,00:38:df:20:75:e8;-75,00:38:df:20:75:ec;-75,00:38:df:20:75:eb;-75,00:38:df:20:75:ea;-75,00:38:df:20:75:e9;-74,00:38:df:20:75:ed;-75,00:38:df:20:75:42;-67,00:38:df:20:7b:a2;-79,00:38:df:20:75:e7;-82,00:38:df:20:7a:e7;-77,,,,,
00:38:df:25:e0:c4;-57,00:38:df:25:e0:c7;-65,00:38:df:25:e0:cb;-61,00:38:df:25:e0:cc;-61,00:38:df:25:e0:cd;-61,00:38:df:25:e0:c8;-61,00:38:df:25:e0:c9;-61,00:38:df:25:e0:ca;-61,00:38:df:20:75:4c;-66,00:38:df:20:75:4d;-66,00:38:df:20:75:48;-66,00:38:df:20:75:4b;-67,00:38:df:20:75:4a;-67,00:38:df:20:75:49;-66,00:38:df:20:75:47;-73,00:38:df:20:7b:a8;-69,00:38:df:20:7b:ad;-69,00:38:df:20:7b:ac;-69,00:38:df:20:7b:ab;-69,00:38:df:20:7b:aa;-69,00:38:df:20:7b:a9;-69,00:38:df:20:75:44;-74,00:38:df:20:7b:a4;-75,00:38:df:20:7b:a7;-74,00:38:df:25:e0:c6;-43,00:38:df:25:e0:c3;-43,00:38:df:20:7a:e4;-78,00:38:df:20:7a:ec;-72,00:38:df:20:7a:ed;-73,00:38:df:20:7a:ea;-73,00:38:df:20:7a:eb;-73,00:38:df:20:7a:e8;-72,00:38:df:20:7a:e9;-74,00:38:df:20:75:e8;-75,00:38:df:20:75:ec;-75,00:38:df:20:75:eb;-75,00:38:df:20:75:ea;-75,00:38:df:20:75:e9;-74,00:38:df:20:75:ed;-75,00:38:df:20:7a:e7;-77,,,,,,,,,,,,
00:38:df:25:e0:c4;-51,00:38:df:25:e0:c7;-58,00:38:df:25:e0:cb;-52,00:38:df:25:e0:cc;-52,00:38:df:25:e0:cd;-52,00:38:df:25:e0:c8;-52,00:38:df:25:e0:c9;-52,00:38:df:25:e0:ca;-52,00:38:df:20:75:4c;-68,00:38:df:20:75:4d;-68,00:38:df:20:75:48;-68,00:38:df:20:75:4b;-68,00:38:df:20:75:4a;-68,00:38:df:20:75:49;-68,00:38:df:20:75:47;-73,00:38:df:20:7b:a8;-68,00:38:df:20:7b:ad;-67,00:38:df:20:7b:ac;-67,00:38:df:20:7b:ab;-67,00:38:df:20:7b:aa;-67,00:38:df:20:7b:a9;-68,00:38:df:20:75:44;-74,00:38:df:20:7b:a4;-75,00:38:df:20:7b:a7;-74,00:38:df:25:e0:c6;-43,00:38:df:25:e0:c3;-43,00:38:df:20:7a:e4;-78,00:38:df:20:7a:ec;-78,00:38:df:20:7a:ed;-78,00:38:df:20:7a:ea;-78,00:38:df:20:7a:eb;-78,00:38:df:20:7a:e8;-78,00:38:df:20:7a:e9;-78,00:38:df:20:75:e8;-75,00:38:df:20:75:ec;-75,00:38:df:20:75:eb;-75,00:38:df:20:75:ea;-75,00:38:df:20:75:e9;-74,00:38:df:20:75:ed;-75,00:38:df:20:7a:e7;-77,,,,,,,,,,,,
00:38:df:25:e0:c4;-51,00:38:df:25:e0:c7;-53,00:38:df:25:e0:cb;-52,00:38:df:25:e0:cc;-52,00:38:df:25:e0:cd;-52,00:38:df:25:e0:c8;-52,00:38:df:25:e0:c9;-52,00:38:df:25:e0:ca;-52,00:38:df:20:75:4c;-68,00:38:df:20:75:4d;-68,00:38:df:20:75:48;-68,00:38:df:20:75:4b;-68,00:38:df:20:75:4a;-68,00:38:df:20:75:49;-68,00:38:df:20:75:47;-73,00:38:df:20:7b:a8;-68,00:38:df:20:7b:ad;-67,00:38:df:20:7b:ac;-67,00:38:df:20:7b:ab;-67,00:38:df:20:7b:aa;-67,00:38:df:20:7b:a9;-68,00:38:df:20:75:44;-74,00:38:df:20:7b:a4;-75,00:38:df:20:7b:a7;-74,00:38:df:20:7a:e4;-78,00:38:df:20:7a:ec;-78,00:38:df:20:7a:ed;-78,00:38:df:20:7a:ea;-78,00:38:df:20:7a:eb;-78,00:38:df:20:7a:e8;-78,00:38:df:20:7a:e9;-78,00:38:df:20:7a:e7;-77,,,,,,,,,,,,,,,,,,,,
00:38:df:25:e0:c4;-51,00:38:df:25:e0:c7;-53,00:38:df:25:e0:cb;-52,00:38:df:25:e0:cc;-52,00:38:df:25:e0:cd;-52,00:38:df:25:e0:c8;-52,00:38:df:25:e0:c9;-52,00:38:df:25:e0:ca;-52,00:38:df:20:75:4c;-68,00:38:df:20:75:4d;-68,00:38:df:20:75:48;-68,00:38:df:20:75:4b;-68,00:38:df:20:75:4a;-68,00:38:df:20:75:49;-68,00:38:df:20:75:47;-73,00:38:df:20:7b:a8;-68,00:38:df:20:7b:ad;-67,00:38:df:20:7b:ac;-67,00:38:df:20:7b:ab;-67,00:38:df:20:7b:aa;-67,00:38:df:20:7b:a9;-68,00:38:df:20:75:44;-74,00:38:df:20:7b:a4;-75,00:38:df:20:7b:a7;-74,00:38:df:20:7a:e4;-78,00:38:df:20:7a:ec;-78,00:38:df:20:7a:ed;-78,00:38:df:20:7a:ea;-78,00:38:df:20:7a:eb;-78,00:38:df:20:7a:e8;-78,00:38:df:20:7a:e9;-78,00:38:df:20:7a:e7;-77,,,,,,,,,,,,,,,,,,,,
00:38:df:25:e0:c4;-55,00:38:df:25:e0:c7;-59,00:38:df:25:e0:cb;-56,00:38:df:25:e0:cc;-56,00:38:df:25:e0:cd;-56,00:38:df:25:e0:c8;-56,00:38:df:25:e0:c9;-56,00:38:df:25:e0:ca;-56,00:38:df:20:75:4c;-68,00:38:df:20:75:4d;-68,00:38:df:20:75:48;-68,00:38:df:20:75:4b;-68,00:38:df:20:75:4a;-68,00:38:df:20:75:49;-68,00:38:df:20:75:47;-74,00:38:df:20:7b:a8;-64,00:38:df:20:7b:ad;-63,00:38:df:20:7b:ac;-63,00:38:df:20:7b:ab;-63,00:38:df:20:7b:aa;-63,00:38:df:20:7b:a9;-64,00:38:df:20:75:44;-74,00:38:df:20:7b:a4;-75,00:38:df:20:7b:a7;-74,00:38:df:20:7a:e4;-75,00:38:df:20:7a:ec;-67,00:38:df:20:7a:ed;-67,00:38:df:20:7a:ea;-67,00:38:df:20:7a:eb;-67,00:38:df:20:7a:e8;-68,00:38:df:20:7a:e9;-67,00:38:df:20:7a:e7;-75,00:38:df:20:75:e9;-73,00:38:df:20:75:eb;-75,00:38:df:20:75:ea;-75,00:38:df:20:75:e8;-75,00:38:df:20:75:ed;-75,00:38:df:20:75:ec;-75,00:38:df:20:75:42;-74,00:38:df:20:75:46;-74,00:38:df:20:75:43;-75,00:38:df:20:75:45;-75,,,,,,,,,,
